"last_name, first_name","player_id","year","player_age","ab","hit","home_run","strikeout","on_base_plus_slg","r_total_stolen_base","sweet_spot_percent","barrel_batted_rate"
"Ortiz, David",120074,2016,40,537,169,38,86,"1.021","2",39.3,18.1
"Beltré, Adrian",134181,2016,37,583,175,32,66,"0.879","1",34.2,9.3
"Beltrán, Carlos",136860,2016,39,552,163,29,101,"0.850","1",32.5,7.4
"Werth, Jayson",150029,2016,37,525,128,21,139,"0.752","5",31.9,8.3
"Martinez, Victor",400121,2016,37,553,160,27,90,"0.827","0",37.8,9.1
"Utley, Chase",400284,2016,37,512,129,14,115,"0.715","2",35.6,4.7
"Pujols, Albert",405395,2016,36,593,159,31,75,"0.780","4",31.5,10.4
"Mauer, Joe",408045,2016,33,494,129,11,93,"0.752","2",36.5,6.4
"Cabrera, Miguel",408234,2016,33,595,188,38,116,"0.956","0",40.1,17.5
"González, Adrián",408236,2016,34,568,162,18,117,"0.784","0",38.9,5
"Phillips, Brandon",408252,2016,35,550,160,11,68,"0.736","14",35.1,3
"Upton, B.J.",425834,2016,31,492,117,20,155,"0.693","27",31.4,6.3
"Molina, Yadier",425877,2016,33,534,164,8,63,"0.787","3",35.5,4.1
"Canó, Robinson",429664,2016,33,655,195,39,100,"0.883","0",32.7,8.1
"Encarnación, Edwin",429665,2016,33,601,158,42,138,"0.886","2",35.9,13.6
"Bautista, José",430832,2016,35,423,99,22,103,"0.818","2",30.6,9.4
"Jones, Adam",430945,2016,30,619,164,29,115,"0.746","2",31.8,9.2
"Martin, Russell",431145,2016,33,455,105,20,148,"0.733","2",29.4,10.2
"Granderson, Curtis",434158,2016,35,545,129,30,130,"0.799","4",33.8,7.6
"Pagán, Ángel",434636,2016,34,495,137,12,66,"0.749","15",36.1,3.4
"Ramirez, Hanley",434670,2016,32,549,157,30,120,"0.866","9",29.6,12.2
"Morales, Kendrys",434778,2016,33,558,147,30,120,"0.795","0",34.5,12.1
"Kendrick, Howie",435062,2016,32,487,124,8,96,"0.692","10",26.9,6.5
"Napoli, Mike",435063,2016,34,557,133,34,194,"0.800","5",33.2,15
"Kinsler, Ian",435079,2016,34,618,178,28,115,"0.832","14",37.4,4.1
"Desmond, Ian",435622,2016,30,625,178,22,160,"0.781","21",28.4,8.4
"Cruz, Nelson",443558,2016,35,589,169,43,159,"0.915","2",34.8,18.5
"Trumbo, Mark",444432,2016,30,613,157,47,170,"0.849","2",31.8,17.9
"Escobar, Alcides",444876,2016,29,637,166,7,96,"0.642","17",31.7,1.7
"Prado, Martín",445988,2016,32,600,183,8,69,"0.776","2",31.2,1.4
"Longoria, Evan",446334,2016,30,633,173,36,144,"0.839","0",38.1,13.4
"Cozart, Zack",446359,2016,30,464,117,16,84,"0.733","4",31.4,2.6
"Davis, Chris",448801,2016,30,566,125,38,219,"0.791","1",35.7,16.7
"Zobrist, Ben",450314,2016,35,523,142,18,82,"0.832","6",32.5,5.1
"Fowler, Dexter",451594,2016,30,456,126,13,124,"0.840","13",37.1,6.6
"Headley, Chase",452104,2016,32,467,118,14,118,"0.716","8",33.6,6.4
"Span, Denard",452655,2016,32,572,152,11,79,"0.712","12",29.5,3.3
"Cabrera, Asdrúbal",452678,2016,30,521,146,23,103,"0.810","5",36.4,6.3
"Ellsbury, Jacoby",453056,2016,32,551,145,9,84,"0.704","20",30.8,1.9
"Tulowitzki, Troy",453064,2016,31,492,125,24,101,"0.761","1",33.7,10.4
"Blackmon, Charlie",453568,2016,29,578,187,29,102,"0.933","17",39.1,7.6
"Frazier, Todd",453943,2016,30,590,133,40,163,"0.766","15",31.7,11.5
"Markakis, Nick",455976,2016,32,599,161,13,101,"0.743","0",37.7,5.5
"Pedroia, Dustin",456030,2016,32,633,201,15,73,"0.825","7",35.3,2.8
"Núñez, Eduardo",456488,2016,29,553,159,16,88,"0.757","40",28.8,5.2
"McCutchen, Andrew",457705,2016,29,598,153,24,143,"0.766","6",32.1,9.8
"Upton, Justin",457708,2016,28,570,140,31,179,"0.775","9",33.3,13.8
"Turner, Justin",457759,2016,31,556,153,27,107,"0.832","4",37.4,9.3
"Posey, Buster",457763,2016,29,539,155,14,68,"0.796","6",32.6,7.7
"Espinosa, Danny",457787,2016,29,516,108,24,174,"0.684","9",26.6,10.2
"Bruce, Jay",457803,2016,29,539,135,33,126,"0.815","4",35.8,9.2
"Votto, Joey",458015,2016,32,556,181,29,120,"0.984","8",40.5,10.3
"Gardner, Brett",458731,2016,32,547,143,7,106,"0.713","16",27.8,2.7
"Saunders, Michael",459431,2016,29,490,124,24,157,"0.816","1",33.2,8.5
"Braun, Ryan",460075,2016,32,511,156,30,98,"0.903","16",27.2,10.2
"Gordon, Alex",460086,2016,32,445,98,17,148,"0.692","8",35.2,9.4
"Kemp, Matt",461314,2016,31,623,167,35,156,"0.803","1",37.2,11.8
"Andrus, Elvis",462101,2016,27,506,153,8,70,"0.801","24",32.4,2
"Cabrera, Melky",466320,2016,31,591,175,14,69,"0.800","2",33.6,2.4
"Ramos, Wilson",467092,2016,28,482,148,22,79,"0.850","0",32.4,8.5
"Santana, Carlos",467793,2016,30,582,151,34,99,"0.864","5",29.3,10.8
"González, Carlos",471865,2016,30,584,174,25,129,"0.855","2",32.2,9.5
"Mercer, Jordy",474568,2016,29,519,133,11,83,"0.702","1",27.9,2.6
"Belt, Brandon",474832,2016,28,542,149,17,148,"0.868","0",42.2,12.7
"Carter, Chris",474892,2016,29,549,122,41,206,"0.820","3",36.3,19.4
"Alonso, Yonder",475174,2016,29,482,122,7,74,"0.683","3",33.3,4.4
"Escobar, Yunel",488862,2016,33,517,157,5,67,"0.746","0",27.8,3.2
"Cespedes, Yoenis",493316,2016,30,479,134,31,108,"0.884","3",32.9,10.7
"Ramirez, Alexei",493351,2016,34,478,115,6,63,"0.610","8",30.9,0.5
"Davis, Khris",501981,2016,28,555,137,42,166,"0.831","1",31.5,18.8
"Martinez, J.D.",502110,2016,28,460,141,22,128,"0.908","1",38,15.1
"Valencia, Danny",502143,2016,31,471,135,17,115,"0.792","1",35.2,8.6
"Murphy, Daniel",502517,2016,31,531,184,25,57,"0.985","5",36.3,9.3
"Goldschmidt, Paul",502671,2016,28,579,172,24,150,"0.900","32",33,9.2
"Gonzalez, Marwin",503556,2016,27,484,123,13,118,"0.694","12",30.3,6.3
"Altuve, Jose",514888,2016,26,640,216,24,70,"0.927","30",39.3,7.5
"Hernández, César",514917,2016,26,547,161,6,116,"0.764","17",29.9,2.1
"Segura, Jean",516416,2016,26,637,203,20,101,"0.867","33",31,7.3
"Castro, Starlin",516770,2016,26,577,156,21,118,"0.733","4",32.3,6.2
"Marte, Starling",516782,2016,27,489,152,9,104,"0.818","47",35.8,6
"Donaldson, Josh",518626,2016,30,577,164,37,119,"0.953","7",32.4,13.7
"Freeman, Freddie",518692,2016,26,589,178,34,171,"0.969","6",44.7,14.6
"Heyward, Jason",518792,2016,26,530,122,7,93,"0.631","11",28.9,3.5
"LeMahieu, DJ",518934,2016,27,552,192,11,80,"0.911","11",36.2,5.5
"Lucroy, Jonathan",518960,2016,30,490,143,24,100,"0.855","5",37.6,8.3
"Moreland, Mitch",519048,2016,30,460,107,22,118,"0.720","1",33.6,10.6
"Rizzo, Anthony",519203,2016,26,583,170,32,108,"0.929","3",31.6,10.5
"Vogt, Stephen",519390,2016,31,490,123,14,83,"0.711","0",40.7,5.8
"Galvis, Freddy",520471,2016,26,584,141,20,136,"0.673","17",33.9,3.4
"Perez, Salvador",521692,2016,26,514,127,22,119,"0.726","0",29.5,7
"Forsythe, Logan",523253,2016,29,511,135,20,127,"0.777","6",38.9,8.4
"Inciarte, Ender",542255,2016,25,522,152,3,68,"0.732","16",31.5,0.8
"Ozuna, Marcell",542303,2016,25,557,148,23,115,"0.773","0",32.3,8.6
"Villar, Jonathan",542340,2016,25,589,168,19,174,"0.826","62",28.8,7.8
"Crawford, Brandon",543063,2016,29,553,152,12,115,"0.772","7",33.8,6.3
"Harrison, Josh",543281,2016,28,487,138,4,76,"0.699","19",36.6,2.4
"Hosmer, Eric",543333,2016,26,605,161,25,132,"0.761","5",26,11
"Kipnis, Jason",543401,2016,29,610,168,23,146,"0.812","15",38.2,7.4
"Miller, Brad",543543,2016,26,548,133,30,149,"0.786","6",29.6,11.5
