Player,Team,PA,BA,OBP,SLG,OPS,HR,SB,ISO,HR_rate,GAP_rate,SB_rate,BB_rate,SO_rate,Cluster,Hitter_Type
Francisco Lindor,NYM,732.0,0.267,0.346,0.466,0.811,31.0,31.0,0.199,0.0423497267759562,0.0478142076502732,0.0423497267759562,0.0887978142076502,0.1789617486338797,1,거포형
Rafael Devers,2TM,729.0,0.252,0.372,0.479,0.851,35.0,1.0,0.2269999999999999,0.0480109739368998,0.0452674897119341,0.0013717421124828,0.1536351165980795,0.2633744855967078,1,거포형
Shohei Ohtani,LAD,727.0,0.282,0.392,0.622,1.014,55.0,20.0,0.34,0.0756533700137551,0.046767537826685,0.0275103163686382,0.1499312242090784,0.2572214580467675,1,거포형
Matt Olson,ATL,724.0,0.272,0.366,0.484,0.85,29.0,1.0,0.2119999999999999,0.0400552486187845,0.0593922651933701,0.0013812154696132,0.1256906077348066,0.2430939226519337,1,거포형
Kyle Schwarber,PHI,724.0,0.24,0.365,0.563,0.928,56.0,10.0,0.3229999999999999,0.0773480662983425,0.0345303867403314,0.0138121546961325,0.149171270718232,0.2720994475138121,1,거포형
Geraldo Perdomo,ARI,720.0,0.29,0.389,0.462,0.851,20.0,27.0,0.172,0.0277777777777777,0.0527777777777777,0.0375,0.1305555555555555,0.1152777777777777,2,교타·스피드형
Juan Soto,NYM,715.0,0.263,0.396,0.525,0.921,43.0,38.0,0.262,0.0601398601398601,0.0293706293706293,0.0531468531468531,0.1776223776223776,0.1916083916083916,1,거포형
Julio Rodr?guez,SEA,710.0,0.267,0.324,0.474,0.798,32.0,30.0,0.2069999999999999,0.0450704225352112,0.0492957746478873,0.0422535211267605,0.0619718309859154,0.2140845070422535,3,저타율 장타형
Randy Arozarena,SEA,709.0,0.238,0.334,0.426,0.76,27.0,31.0,0.188,0.0380818053596615,0.0465444287729196,0.0437235543018335,0.0902679830747531,0.2693935119887165,3,저타율 장타형
Pete Alonso,NYM,709.0,0.272,0.347,0.524,0.871,38.0,1.0,0.252,0.0535966149506347,0.0592383638928067,0.001410437235543,0.0860366713681241,0.2284908321579689,1,거포형
Cal Raleigh,SEA,705.0,0.247,0.359,0.589,0.948,60.0,14.0,0.3419999999999999,0.0851063829787234,0.0340425531914893,0.0198581560283687,0.1375886524822695,0.2666666666666666,1,거포형
Elly De La Cruz,CIN,699.0,0.264,0.336,0.44,0.777,22.0,37.0,0.176,0.0314735336194563,0.0543633762517882,0.0529327610872675,0.0958512160228898,0.2589413447782546,2,교타·스피드형
Brent Rooker,ATH,699.0,0.262,0.335,0.479,0.814,30.0,6.0,0.2169999999999999,0.0429184549356223,0.0615164520743919,0.0085836909871244,0.0929899856938483,0.2217453505007153,1,거포형
