"last_name, first_name","player_id","year","player_age","p_formatted_ip","hit","home_run","strikeout","walk","p_earned_run","p_era"
"Colon, Bartolo",112526,2016,43,"191.2",200,24,128,32,"73","3.43"
"Dickey, R.A.",285079,2016,41,"169.2",169,28,126,63,"84","4.46"
"Lackey, John",407793,2016,37,"188.1",146,23,180,53,"70","3.35"
"Santana, Ervin",429722,2016,33,"181.1",168,19,149,53,"68","3.38"
"Hamels, Cole",430935,2016,32,"200.2",185,24,200,77,"74","3.32"
"Verlander, Justin",434378,2016,33,"227.2",171,30,254,57,"77","3.04"
"Liriano, Francisco",434538,2016,32,"163.0",157,26,168,85,"85","4.69"
"Hammel, Jason",434628,2016,33,"166.2",148,25,144,53,"71","3.83"
"Nolasco, Ricky",445060,2016,33,"197.2",202,26,144,44,"97","4.42"
"Weaver, Jered",450308,2016,33,"178.0",209,37,103,51,"100","5.06"
"Fister, Doug",450729,2016,32,"180.1",195,24,115,62,"93","4.64"
"Lester, Jon",452657,2016,32,"202.2",154,21,197,52,"55","2.44"
"Kennedy, Ian",453178,2016,31,"195.2",173,33,184,66,"80","3.68"
"Price, David",456034,2016,30,"230.0",227,30,228,50,"102","3.99"
"Gonzalez, Gio",461829,2016,30,"177.1",179,19,171,59,"90","4.57"
"Estrada, Marco",462136,2016,32,"176.0",132,23,165,65,"68","3.48"
"Nova, Iván",467100,2016,29,"162.0",175,23,127,28,"75","4.17"
"Tillman, Chris",501957,2016,28,"172.0",155,19,140,66,"72","3.77"
"Samardzija, Jeff",502188,2016,31,"203.1",190,24,167,54,"86","3.81"
"Leake, Mike",502190,2016,28,"176.2",203,20,125,30,"92","4.69"
"Bumgarner, Madison",518516,2016,26,"226.2",179,26,251,54,"69","2.74"
"Duffy, Danny",518633,2016,27,"179.2",163,27,188,42,"70","3.51"
"Sale, Chris",519242,2016,27,"226.2",190,27,233,45,"84","3.34"
"Pérez, Martín",527048,2016,25,"198.2",205,18,103,76,"97","4.39"
"Hendricks, Kyle",543294,2016,26,"190.0",142,15,170,44,"45","2.13"
"Koehler, Tom",543408,2016,30,"176.2",176,22,147,83,"85","4.33"
"McHugh, Collin",543521,2016,29,"184.2",206,25,177,54,"89","4.34"
"Roark, Tanner",543699,2016,29,"210.0",173,17,172,73,"66","2.83"
"Iwakuma, Hisashi",547874,2016,35,"199.0",218,28,147,46,"91","4.12"
"Tanaka, Masahiro",547888,2016,27,"199.2",179,22,165,36,"68","3.07"
"Fiers, Mike",571666,2016,31,"168.2",187,26,134,42,"84","4.48"
"Straily, Dan",573185,2016,27,"191.1",154,31,162,73,"80","3.76"
"Gausman, Kevin",592332,2016,25,"179.2",183,28,174,47,"72","3.61"
"Ray, Robbie",592662,2016,24,"174.1",185,24,218,71,"95","4.90"
"Sanchez, Aaron",592717,2016,23,"192.0",161,15,161,63,"64","3.00"
"Smyly, Drew",592767,2016,27,"175.1",174,32,167,49,"95","4.88"
"Davies, Zach",605200,2016,23,"163.1",166,20,135,38,"72","3.97"
"Fernández, José",605228,2016,23,"182.1",149,13,253,55,"58","2.86"
"Graveman, Kendall",608665,2016,25,"186.0",196,22,108,47,"85","4.11"
"Dickey, R.A.",285079,2017,42,"190.0",193,26,136,67,"90","4.26"
"Lackey, John",407793,2017,38,"170.2",165,36,149,53,"87","4.59"
"Santana, Ervin",429722,2017,34,"211.1",177,31,167,61,"77","3.28"
"Verlander, Justin",434378,2017,34,"206.0",170,27,219,72,"77","3.36"
"Hammel, Jason",434628,2017,34,"180.1",209,26,145,48,"106","5.29"
"Nolasco, Ricky",445060,2017,34,"181.0",205,35,143,58,"99","4.92"
"Vargas, Jason",450306,2017,34,"179.2",181,27,134,58,"83","4.16"
"Lester, Jon",452657,2017,33,"180.2",179,26,180,60,"87","4.33"
"Richard, Clayton",453385,2017,33,"197.1",240,24,151,59,"105","4.79"
"Lynn, Lance",458681,2017,30,"186.1",151,27,153,78,"71","3.43"
"Gonzalez, Gio",461829,2017,31,"201.0",158,21,188,79,"66","2.96"
"Estrada, Marco",462136,2017,33,"186.0",186,31,176,71,"103","4.98"
"Nova, Iván",467100,2017,30,"187.0",203,29,131,36,"86","4.14"
"Carrasco, Carlos",471911,2017,30,"200.0",173,21,226,46,"73","3.29"
"Kershaw, Clayton",477132,2017,29,"175.0",136,23,202,30,"45","2.31"
"Cobb, Alex",502171,2017,29,"179.1",175,22,128,44,"73","3.66"
"Samardzija, Jeff",502188,2017,32,"207.2",204,30,205,32,"102","4.42"
"Leake, Mike",502190,2017,29,"186.0",201,20,130,37,"81","3.92"
"Darvish, Yu",506433,2017,30,"186.2",159,27,209,58,"80","3.86"
"Sale, Chris",519242,2017,28,"214.1",165,24,308,43,"69","2.90"
"Pérez, Martín",527048,2017,26,"185.0",221,23,115,63,"99","4.82"
"Cole, Gerrit",543037,2017,26,"203.0",199,31,196,55,"96","4.26"
"Roark, Tanner",543699,2017,30,"181.1",178,23,166,64,"94","4.67"
"Tanaka, Masahiro",547888,2017,28,"178.1",180,35,194,41,"94","4.74"
"Corbin, Patrick",571578,2017,27,"189.2",208,26,178,61,"85","4.03"
"Straily, Dan",573185,2017,28,"181.2",176,31,170,60,"86","4.26"
"Gausman, Kevin",592332,2017,26,"186.2",208,29,179,71,"97","4.68"
"Ray, Robbie",592662,2017,25,"162.0",116,23,218,71,"52","2.89"
"Davies, Zach",605200,2017,24,"191.1",204,20,124,55,"83","3.90"
"Wacha, Michael",608379,2017,25,"165.2",170,17,158,55,"76","4.13"
"Márquez, Germán",608566,2017,22,"162.0",174,25,147,49,"79","4.39"
"Hamels, Cole",430935,2018,34,"190.2",176,29,188,65,"80","3.78"
"Verlander, Justin",434378,2018,35,"214.0",156,28,290,37,"60","2.52"
"Lester, Jon",452657,2018,34,"181.2",174,24,149,64,"67","3.32"
"LeBlanc, Wade",453281,2018,33,"162.0",151,24,130,40,"67","3.72"
"Price, David",456034,2018,32,"176.0",151,25,177,50,"70","3.58"
"Gonzalez, Gio",461829,2018,32,"171.0",167,17,148,80,"80","4.21"
"Carrasco, Carlos",471911,2018,31,"192.0",173,21,231,43,"72","3.38"
"Gibson, Kyle",502043,2018,30,"196.2",177,23,179,79,"79","3.62"
"Leake, Mike",502190,2018,30,"185.2",207,23,119,34,"90","4.36"
"Cole, Gerrit",543037,2018,27,"200.1",143,19,276,64,"64","2.88"
"Hendricks, Kyle",543294,2018,28,"199.0",184,22,161,44,"76","3.44"
"Roark, Tanner",543699,2018,31,"180.1",181,24,146,50,"87","4.34"
"Corbin, Patrick",571578,2018,28,"200.0",162,15,246,48,"70","3.15"
"Fiers, Mike",571666,2018,33,"172.0",166,32,139,37,"68","3.56"
"Mikolas, Miles",571945,2018,29,"200.2",186,16,146,29,"63","2.83"
"Gausman, Kevin",592332,2018,27,"183.2",189,26,148,50,"80","3.92"
"Taillon, Jameson",592791,2018,26,"191.0",179,20,179,46,"68","3.20"
"Clevinger, Mike",605182,2018,27,"200.0",164,21,207,67,"67","3.02"
"Freeland, Kyle",607536,2018,25,"202.1",182,17,173,70,"64","2.85"
"Giolito, Lucas",608337,2018,23,"173.1",166,27,125,90,"118","6.13"
"Márquez, Germán",608566,2018,23,"196.0",179,24,230,57,"82","3.77"
"Berríos, José",621244,2018,24,"192.1",159,25,202,61,"82","3.84"
"Godley, Zack",643327,2018,28,"178.1",177,16,185,81,"94","4.74"
"Newcomb, Sean",656794,2018,25,"164.0",137,18,160,81,"71","3.90"
"Verlander, Justin",434378,2019,36,"223.0",137,36,300,42,"64","2.58"
"Sánchez, Aníbal",434671,2019,35,"166.0",153,22,134,58,"71","3.85"
"Lester, Jon",452657,2019,35,"171.2",205,26,165,52,"85","4.46"
"Lynn, Lance",458681,2019,32,"208.1",195,21,246,59,"85","3.67"
"Nova, Iván",467100,2019,32,"187.0",225,30,114,47,"98","4.72"
"Kershaw, Clayton",477132,2019,31,"178.1",145,28,189,41,"60","3.03"
"Samardzija, Jeff",502188,2019,34,"181.1",152,28,140,49,"71","3.52"
"Leake, Mike",502190,2019,31,"197.0",227,41,127,27,"94","4.29"
"Darvish, Yu",506433,2019,32,"178.2",140,33,229,56,"79","3.98"
"Bumgarner, Madison",518516,2019,29,"207.2",191,30,203,43,"90","3.90"
"Kelly, Merrill",518876,2019,30,"183.1",184,29,158,57,"90","4.42"
"Pérez, Martín",527048,2019,28,"165.1",184,23,135,67,"94","5.12"
"Cole, Gerrit",543037,2019,28,"212.1",142,29,326,48,"59","2.50"
"Hendricks, Kyle",543294,2019,29,"177.0",168,19,150,32,"68","3.46"
"Roark, Tanner",543699,2019,32,"165.1",180,28,158,51,"80","4.35"
"Tanaka, Masahiro",547888,2019,30,"182.0",186,28,149,40,"90","4.45"
"Ryu, Hyun Jin",547943,2019,32,"182.2",160,17,163,24,"47","2.32"
"Corbin, Patrick",571578,2019,29,"202.0",169,24,238,70,"73","3.25"
"Fiers, Mike",571666,2019,34,"184.2",166,30,126,53,"80","3.90"
"Mikolas, Miles",571945,2019,30,"184.0",193,27,144,32,"85","4.16"
